id,landmark_id
214a3431b828aad8,0
b01ec2a73e7cceca,1
9ffb1c3d0bd73d2d,2
5a389427cf0fb8b5,3
0e429547020c016c,0
7c4b912f3bbb77aa,2
3c530db730ed9af5,4
50572cbe950afcd7,5
a39776ff4ae229a1,2
5ccb316d9c1b4c21,3
286823e02757ae6a,5
cbdc9520dbb29f50,6
5057096aec5bfbc2,7
39c7a1e15413e20b,1
a95d4067edb9e37e,0
ef49336b753a9b8e,0
89828f3f9ed39776,8
f4019bc5fc3ded33,0
396edf736897f2ab,5
5a7d2387cd91b20f,2
07d6087c79b35236,8
3576dcd7699c253b,0
4c44b380470c124f,2
96d044f6a4e793fd,4
6fa4b9fdf6068483,3
9c2a96cabb180a0a,7
b7b21a87ec9953a7,0
9558d1b953fe2a60,9
b8e09bef2b56c682,0
3a9077cdfd2fac95,0
679760c7bf1396f4,5
bc94abd479eb9698,1
b6d001db0f07172e,3
f37105e55ba8f79a,0
670a009b3cb40d33,10
01f7b9faef5fae4a,3
56dee8505cd517c7,11
a1d30552f1a254d2,0
9ec0c237e9688f9f,0
d5c4403c93580064,4
a1e9eafe25d900b0,1
0dce887f20355757,9
66a05adde31f5a66,0
d1073f6e472e4112,0
82cd839214798af9,4
c5b81ab921528a38,3
6c944f6bca078fd0,1
c1edb3502ff4db78,0
421bf6b94fc82621,9
c63d804798238185,5
cc2bc7bc74ba34a8,0
c0f8da06a2098c04,11
245e6b68d735c191,1
4653b388cddbb99a,10
8fbf7d4a5620edca,9
4c4abe259954c034,0
70e340ae8752d455,3
27a8562b7c793d60,0
0b9d68aea86d3619,0
e8e364feb031731e,0
0a5050825a4347cf,2
69f982bfb1372483,2
a71d48c1e8a3ac27,0
2b8cc5004fa3c32a,5
db3c3b24098b02d9,1
55adc82e2acfb73a,5
9b6a90237bd8df0c,11
8b91e9a452ee8d28,3
b9bd0b301c5b1d71,0
c8629835b9afac84,11
e25dab8f1e9b71c5,10
84b40b0b9968a2fd,3
1bd05dd5f7e17e0b,2
69205ec9d374b2f7,0
54d58a832167572a,0
ab9f825033351118,0
d8ee4b8b5cbf95ef,9
7abee4012d3e3b8a,6
aaa0c0463511f352,5
21715a6c37937844,0
2b895f084d889bcc,5
34a9442904d9f89f,5
eca6e6e3c2fadd56,2
ea7fdb2670fcf116,5
685ca3c60acb5c51,0
dacb7a3e71d25523,0
3834d85dc79ec81d,9
5f68dd9f18a2bc07,9
ff66f63e1db67b71,5
ec1957b579db18d1,3
76cbbef2fef698eb,9
4456d7152b5c8c9e,3
6d350654d11ac15c,9
8878fe5a702f7f66,9
9b52a800af06fd9c,2
839fec84f6cbf497,11
fce91b27de18deb7,7
86c4d52fa7a6cfd8,3
6ecf96c52837bae6,8
cbb30b4475675a47,4
012d1e3ba1a8281f,6
95b26e3deef13e0a,0
a79fb572ed92ae20,0
bd4ac5b0959784ef,8
74f28e09457bbfb6,0
2097f01dd871f1c0,10
37e7f506cb711054,7
7e63fffed49bec77,2
e3f4a44507bb7ac6,6
a996461b865e9573,1
e17567b6947d191a,0
7d70025effed1c21,8
c49cd70f3c476e3d,8
