id,landmark_id
8e5d6d33dfe5ea00,6
6abf3ef397f969bb,0
885aac9c17df44da,0
80c273be8f73978a,3
b7480ebcee2e7cc2,0
d21131d4697f29ba,0
5ac639645f2c87e4,0
68ef309686c575f8,4
632829727064d72e,0
9f8725e0f01e9a4a,7
8743a1d6b006502a,3
b39d172946404c9f,6
fffa5d86cbbae4cb,0
eca8e4ced7edaac4,6
d4a19f4a67d59211,4
65fa815bd95eeb56,0
1c608e5026957629,6
308fcdee53b223ca,8
ba1c191c768ca231,12
7155a65c3bf89ae1,17
1991fe48bf982949,3
e29da85023fa1286,8
455dd06f8ad12277,14
47540ccb8aa54153,5
6c03638f0133ee02,1
55b8bc7e3c615e56,9
99e896104c78fc60,9
76b1abef063cf5c2,10
12551b897a6e9bfb,0
abdb1540e9b1952d,1
ea2f1ad6c9b82bf7,11
2f8dfe04093aa48d,14
2afa536d2e74c1b5,1
693668454a6b514b,0
3e41b75b72609ecf,1
f0134701c879988d,0
32ae0def67a17fc5,11
e41b699c5e4dd2dc,14
df3c3da6d7f50a03,16
5c5f52bbee134c1c,15
a9577f2c38850910,19
a2fb853cc48b2d83,3
e8ec4f06f3baad4e,6
a5e0aa22d34b0b5f,2
c5a57ad108fccb66,0
c3e4e2bdb135e57e,2
f1b117094ac0a362,5
81d25e3d4e4453c8,7
44e7a8f6666af350,0
4d82806b13d19ef3,0
88e654a2ee5b86b0,15
5210d6701fe5fad5,0
a3ed1a381b422c62,8
becd8789d97455e2,3
000e5acba361de91,8
6e2043f232952867,12
37c00a375b991679,12
661e64de325d697f,18
9ca4470181caf816,11
ee42ee748df97a34,16
96a1296a7d47f17c,7
6d1dcf61c4f9eac2,19
ec94ba29c40f5b38,11
14f9cd6104a12eed,13
6c4e4e59ef69c5f9,14
1f43f6a4850f0c79,7
c38c04716876af62,0
aaf6b01ae7f68686,8
c2263be1ddf1749a,15
963814ecc1b93f88,0
027a2a3d4c962598,14
2005755bf7168bb2,1
6a96392a267dad74,11
2b27cad5ba150e52,0
4d0538e8bea8aca4,0
9bff897609bf1080,1
7ea49b5cdaddbcc3,15
62bb2eed7b7c71d1,8
a6512d5d662056ec,0
408dbcbb49c108f1,5
8fa83f49544f8780,17
6352dd8118c395bb,0
97a724711429a154,1
1ed7d1dd1835ce50,0
6905e521b4ffa450,0
c96a04f75f5a69ec,0
0f76f07cb903de61,0
5beb408b63d7710e,0
68a650ccbee23fb2,9
664cfe7b1e968d22,12
5a7381d27afc6708,14
0089984e4430c0d9,13
a9c7c81eeacd76f6,0
cc1f78e94a13f135,16
45cd2cbc6a17f448,2
f497b462ddd1686f,7
72ce95bffe7e21a1,1
8f96ed220d0d694f,0
df126eda12d1b194,15
679835908441fb07,1
4cd1ff6e62c16c42,15
179b2bee96f069fd,13
7e719ae5a9ab6f66,1
e371e726af30ccaa,0
c9a059a57491c6fb,16
d9f1019b44b5072d,0
044b8ae0b7de7de7,9
eb76b2e1bfea7f43,2
000a0aee5e90cbaf,16
dba3e6f9df48b53c,9
055de723362474da,15
55b81a1d9b9d2d71,3
8cb1913d72516e82,0
ca2d5ce031b19b6e,1
b993546d39c82327,0
bf7bb2269348e44a,1
c0811cf16e81b90d,0
8713560c737deb13,2
37880fd9eb8f935b,5
e526ab9f73bc2daa,19
d3cc26237e68371f,10
bc33cfeb894fe7b7,0
fc34b2d48b510d2b,0
b583cb79bfe14181,16
df306e012e746341,3
40f4b800a918dc14,1
4a18c9d51c84df27,9
1f79d8860a509202,0
bd99dba69bebadc4,0
137dd0afeb052f50,16
84ef39a4f98261e8,9
851bc29029e33430,2
60c10c5e1125831c,10
fba731b54885a737,3
a820dcbb0aadb7b1,5
c793f780691beee3,2
246ee8824882127a,13
ff38e8e42c421830,13
39654b1912e94e58,16
07faabd8151b8b20,5
c6e5ce181ad01abe,13
9f6f1c5db9c8bdc7,18
82fea644e3c57f46,8
82085a7aedc95dd1,10
828aea3fe5604388,19
a0e55f8fc58d7e58,6
7a013c440a5767fa,3
c583781ebb65e525,11
20261720db35de9e,1
73f5b361c0e5a342,17
c0555c7bdd26b5d0,0
8b84a1faaddd2632,0
db807c682fb6512d,4
4fdb576aeb1f3d63,0
74b7d1936ce133ca,15
cad3dcef7dfec2e1,13
a954c0b156d76d24,16
d16d2522eed365a5,0
e06caf33e6b4f302,2
d99fc38871c72697,2
5f425bcaa85c41c1,2
699dc003d6254341,0
39b0e5e9f9de0095,8
313ccfb1f99e47ee,2
d1cf6cb8aa70ff44,7
23c065a225963baa,15
8cee7e4f571a525e,10
fe1e3959794ad4b4,16
989f7be5bb68ab27,7
5c6b14569b87971c,2
981ae7dacc4d158f,4
3852cb8c888a3bbb,0
5d1b0a93b92c4c57,10
41089fa0350efca8,0
1f3b94c516254748,6
d8c2d31f8b83ad82,15
b767fbb8a567ae2f,16
c1c1132e0cc63d68,6
e9551036677cf71b,13
f674f8b62f9e18bc,18
b8bb9e3163f4a188,4
